"id","name","rating","current_price","original_price","discount","ram","rom","features1","features2"
441,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
442,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
443,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
444,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
445,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
446,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
447,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
448,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
449,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
450,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
451,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
452,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
453,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
454,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
455,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
456,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
457,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
458,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
459,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
460,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
461,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
462,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
463,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
464,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
465,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
466,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
467,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
468,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
469,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
470,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
471,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
472,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
473,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
474,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
475,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
476,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
477,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
478,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
479,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
480,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
481,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
482,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
483,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
484,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
485,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
486,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
487,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
488,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
489,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
490,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
491,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
492,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
493,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
494,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
495,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
496,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
497,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
498,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
499,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
500,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹13,499","₹17,499","22%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
501,"realme 12x 5G (Twilight Purple, 128 GB)","4.3","₹14,999","₹18,999","21%","8 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
502,"POCO C65 (Pastel Green, 128 GB)","4.2","₹7,499","₹11,999","37%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
503,"realme 12x 5G (Twilight Purple, 128 GB)","4.4","₹12,999","₹17,999","27%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
504,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
505,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
506,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
507,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
508,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
509,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
510,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
511,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
512,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
513,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
514,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
515,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
516,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
517,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
518,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
519,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,199","₹1,599","25%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
520,"vivo T3x 5G (Crimson Bliss, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
521,"vivo T3x 5G (Celestial Green, 128 GB)","4.4","₹16,499","₹20,499","19%","8 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
522,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,244","₹1,599","22%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase",NULL
523,"vivo T3x 5G (Celestial Green, 128 GB)","4.5","₹14,999","₹18,999","21%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
